iter	Passed	Remaining
0	1	185
1	3	167
2	4	160
3	6	149
4	7	147
5	9	145
6	11	147
7	12	145
8	14	143
9	15	140
10	16	137
11	18	133
12	19	130
13	20	127
14	21	123
15	22	119
16	23	116
17	24	112
18	25	109
19	26	105
20	27	102
21	27	98
22	28	95
23	29	92
24	29	89
25	30	86
26	30	83
27	31	80
28	32	78
29	32	76
30	33	73
31	33	71
32	34	69
33	34	67
34	35	65
35	36	64
36	36	62
37	37	60
38	37	58
39	38	57
40	38	55
41	39	53
42	39	52
43	40	51
44	40	49
45	41	48
46	41	47
47	42	45
48	42	44
49	43	43
50	43	42
51	44	41
52	45	39
53	45	38
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	54	23
70	55	22
71	55	21
72	56	20
73	56	20
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	63	10
86	64	9
87	64	8
88	65	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	69	2
97	70	1
98	70	0
99	71	0
